iter	RMSE
0	1.117239375
1	1.071039193
2	1.031670177
3	0.9935661397
4	0.9601693096
5	0.9288533569
6	0.901447289
7	0.8754578721
8	0.8534922206
9	0.8314108721
10	0.8122064285
11	0.7938715483
12	0.7775838303
13	0.7626763018
14	0.747317635
15	0.7322626764
16	0.7196542826
17	0.7094031177
18	0.7005362339
19	0.6901571712
20	0.6819568807
21	0.6751207413
22	0.6685709879
23	0.6608216741
24	0.6523302941
25	0.6474836815
26	0.6401617489
27	0.6347340853
28	0.6278997638
29	0.6242828784
30	0.6205112637
31	0.6144723612
32	0.6112033926
33	0.6080262304
34	0.6048085806
35	0.6015291427
36	0.5970133016
37	0.5940054526
38	0.5908573784
39	0.5886900322
40	0.5862115201
41	0.5844697564
42	0.5806498668
43	0.5775208981
44	0.5753821848
45	0.5735356184
46	0.5715153658
47	0.5686903327
48	0.565767473
49	0.564009942
50	0.5622521339
51	0.5605974406
52	0.558581796
53	0.557261849
54	0.5555184646
55	0.5543130999
56	0.5527639686
57	0.5518637441
58	0.5509466928
59	0.5496457403
60	0.5486622549
61	0.5475111318
62	0.5457076106
63	0.543576877
64	0.5424021396
65	0.5409991532
66	0.5393686884
67	0.5379128081
68	0.5366739358
69	0.5357584848
70	0.5348316688
71	0.5341409766
72	0.5331763185
73	0.532117117
74	0.5309901347
75	0.5297179271
76	0.5289330809
77	0.527886912
78	0.5268461318
79	0.5260781397
80	0.5250367338
81	0.5239935135
82	0.5233337579
83	0.5227622921
84	0.5208993541
85	0.5202700188
86	0.5192122317
87	0.5185964866
88	0.5181964068
89	0.5174792239
90	0.5168657704
91	0.5162626772
92	0.5156530146
93	0.5149110574
94	0.5140996624
95	0.513458002
96	0.5123161758
97	0.5113524924
98	0.5107203277
99	0.5101259569
100	0.5093106854
101	0.5086969104
102	0.507777217
103	0.5072341041
104	0.5064110226
105	0.5059141594
106	0.5048032185
107	0.5041182927
108	0.503325747
109	0.5028703226
110	0.5022648073
111	0.5019475191
112	0.5014108468
113	0.5009012207
114	0.5002400498
115	0.4998723811
116	0.4995170505
117	0.4984826086
118	0.4978384173
119	0.4974062696
120	0.4963606669
121	0.4947929272
122	0.4943102696
123	0.4936303818
124	0.4931798129
125	0.4919597879
126	0.4912098764
127	0.4908413752
128	0.4902191978
129	0.4896630863
130	0.4891639765
131	0.4887706902
132	0.4883634037
133	0.4877489575
134	0.4872967068
135	0.4866919808
136	0.486313617
137	0.4858711399
138	0.4850763784
139	0.4844791503
140	0.4841656976
141	0.4836516005
142	0.4832033061
143	0.4825745194
144	0.4818710577
145	0.4811279943
146	0.4803652083
147	0.4795467906
148	0.4789345251
149	0.4782104843
150	0.4777429782
151	0.4772395092
152	0.4765870881
153	0.4760948186
154	0.4755791746
155	0.4746103169
156	0.4739341799
157	0.473348533
158	0.4727625085
159	0.472223078
160	0.4719463305
161	0.4712783023
162	0.4708718648
163	0.4701393335
164	0.4695429757
165	0.4689836859
166	0.4685518776
167	0.4681482368
168	0.4676440602
169	0.4671750573
170	0.4667803377
171	0.4663323798
172	0.4652809234
173	0.4648000121
174	0.4639037877
175	0.46356309
176	0.4626682672
177	0.4622590654
178	0.4619640577
179	0.4611819712
180	0.4609135196
181	0.4600960717
182	0.4596254923
183	0.4593019063
184	0.4589171728
185	0.4584273449
186	0.4579473051
187	0.4575255808
188	0.4571099761
189	0.4567541601
