iter	Passed	Remaining
0	178	178340
1	180	90270
2	182	60800
3	185	46086
4	187	37310
5	189	31403
6	191	27176
7	193	23999
8	195	21537
9	197	19569
10	199	17961
11	201	16627
12	204	15490
13	206	14509
14	207	13656
15	209	12912
16	211	12248
17	213	11668
18	215	11143
19	218	10688
20	220	10265
21	222	9880
22	224	9523
23	226	9192
24	228	8894
25	230	8621
26	232	8364
27	234	8137
28	236	7914
29	238	7703
30	240	7508
31	242	7324
32	244	7164
33	246	7001
34	248	6846
35	250	6709
36	252	6574
37	254	6443
38	256	6319
39	258	6204
40	260	6096
41	262	5993
42	265	5898
43	267	5811
44	269	5718
45	271	5629
46	273	5548
47	275	5466
48	277	5387
49	279	5313
50	281	5243
51	283	5173
52	285	5104
53	287	5041
54	289	4979
55	291	4920
56	293	4860
57	296	4808
58	298	4757
59	300	4707
60	302	4658
61	304	4607
62	306	4561
63	308	4514
64	310	4467
65	312	4425
66	314	4381
67	316	4341
68	318	4298
69	320	4258
70	322	4219
71	324	4181
72	326	4144
73	328	4111
74	330	4076
75	332	4045
76	334	4014
77	337	3983
78	339	3955
79	341	3923
80	343	3893
81	345	3865
82	347	3838
83	349	3811
84	351	3786
85	353	3759
86	355	3730
87	357	3703
88	359	3678
89	361	3655
90	363	3629
91	365	3605
92	367	3581
93	369	3558
94	371	3535
95	373	3513
96	375	3494
97	377	3476
98	379	3454
99	381	3435
100	383	3416
101	385	3397
102	388	3379
103	389	3359
104	392	3344
105	394	3328
106	396	3312
107	398	3294
108	400	3276
109	402	3260
110	404	3243
111	407	3228
112	409	3213
113	411	3199
114	413	3185
115	415	3169
116	417	3153
117	419	3137
118	421	3122
119	423	3108
120	426	3095
121	428	3081
122	430	3067
123	432	3053
124	434	3038
125	436	3025
126	437	3010
127	440	2999
128	442	2986
129	444	2973
130	446	2959
131	448	2946
132	449	2933
133	452	2923
134	454	2911
135	456	2899
136	458	2887
137	460	2875
138	462	2863
139	464	2851
140	466	2840
141	468	2829
142	470	2818
143	472	2809
144	474	2798
145	476	2787
146	478	2776
147	480	2766
148	482	2755
149	484	2745
150	486	2734
151	488	2724
152	490	2715
153	492	2705
154	494	2695
155	496	2685
156	498	2675
157	500	2665
158	502	2655
159	504	2647
160	506	2638
161	508	2629
162	510	2620
163	512	2612
164	514	2603
165	516	2593
166	518	2585
167	520	2576
168	522	2568
169	524	2559
170	526	2550
171	528	2542
172	530	2534
173	531	2525
174	533	2517
175	536	2509
176	538	2502
177	540	2493
178	542	2486
179	543	2477
180	546	2470
181	547	2462
182	549	2455
183	552	2448
184	554	2440
185	556	2433
186	557	2425
187	559	2418
188	561	2411
189	563	2403
190	565	2396
191	567	2389
192	570	2384
193	572	2378
194	574	2370
195	576	2363
196	578	2356
197	580	2350
198	582	2343
199	584	2337
200	586	2333
201	589	2326
202	591	2321
203	593	2314
204	595	2308
205	597	2301
206	599	2296
207	601	2291
208	603	2285
209	605	2278
210	607	2272
211	609	2266
212	611	2260
213	613	2254
214	616	2249
215	618	2243
216	620	2237
217	622	2231
218	623	2225
219	625	2219
220	627	2213
221	629	2207
222	632	2202
223	634	2197
224	636	2191
225	638	2185
226	639	2179
227	642	2173
228	643	2168
229	645	2162
230	648	2158
231	650	2152
232	652	2147
233	654	2141
234	656	2136
235	658	2130
236	660	2124
237	662	2119
238	664	2114
239	666	2109
240	668	2104
241	670	2099
242	672	2094
243	674	2089
244	676	2084
245	678	2079
246	680	2075
247	682	2070
248	684	2065
249	686	2060
250	688	2055
251	691	2051
252	693	2046
253	695	2041
254	697	2036
255	698	2031
256	700	2026
257	702	2021
258	704	2016
259	706	2011
260	708	2006
261	710	2002
262	712	1997
263	714	1992
264	716	1987
265	718	1982
266	720	1978
267	722	1973
268	724	1968
269	726	1964
270	728	1960
271	730	1955
272	732	1950
273	734	1945
274	736	1941
275	738	1936
276	740	1932
277	742	1927
278	744	1923
279	746	1919
280	748	1915
281	750	1910
282	752	1906
283	754	1902
284	756	1898
285	758	1894
286	760	1889
287	762	1885
288	764	1880
289	766	1876
290	768	1872
291	770	1868
292	772	1864
293	774	1860
294	776	1856
295	778	1852
296	780	1848
297	783	1844
298	785	1840
299	787	1836
300	789	1833
301	791	1828
302	793	1825
303	795	1821
304	797	1817
305	799	1813
306	801	1809
307	803	1805
308	805	1801
309	807	1797
310	809	1793
311	811	1789
312	813	1786
313	815	1782
314	817	1778
315	819	1774
316	821	1770
317	824	1767
318	826	1763
319	828	1760
320	830	1756
321	832	1753
322	835	1750
323	837	1746
324	839	1743
325	841	1739
326	843	1736
327	845	1732
328	848	1729
329	850	1726
330	852	1723
331	854	1719
332	856	1716
333	859	1712
334	861	1709
335	863	1706
336	865	1702
337	867	1699
338	869	1695
339	871	1692
340	873	1689
341	875	1685
342	877	1681
343	879	1677
344	881	1674
345	883	1670
346	885	1666
347	888	1664
348	890	1661
349	892	1657
350	894	1654
351	896	1650
352	898	1647
353	900	1643
354	902	1640
355	904	1636
356	906	1632
357	908	1629
358	910	1625
359	912	1622
360	914	1618
361	916	1615
362	918	1611
363	920	1609
364	923	1605
365	924	1602
366	926	1598
367	928	1595
368	930	1591
369	932	1588
370	934	1584
371	936	1581
372	938	1578
373	940	1574
374	942	1571
375	944	1567
376	946	1564
377	948	1561
378	950	1557
379	952	1554
380	955	1551
381	956	1548
382	958	1544
383	960	1541
384	962	1538
385	964	1534
386	966	1531
387	968	1528
388	970	1524
389	972	1521
390	974	1517
391	976	1515
392	979	1512
393	980	1508
394	982	1505
395	984	1502
396	986	1498
397	988	1495
398	990	1492
399	993	1489
400	995	1486
401	997	1483
402	999	1480
403	1001	1477
404	1003	1474
405	1005	1470
406	1007	1467
407	1009	1464
408	1011	1461
409	1013	1458
410	1015	1454
411	1017	1451
412	1019	1448
413	1021	1445
414	1023	1442
415	1025	1438
416	1027	1436
417	1029	1432
418	1031	1429
419	1033	1426
420	1035	1423
421	1037	1420
422	1039	1417
423	1041	1414
424	1043	1411
425	1045	1408
426	1046	1404
427	1049	1402
428	1051	1398
429	1053	1395
430	1055	1392
431	1057	1390
432	1059	1387
433	1061	1384
434	1063	1381
435	1065	1378
436	1067	1375
437	1069	1372
438	1071	1369
439	1073	1366
440	1075	1363
441	1077	1360
442	1079	1357
443	1081	1354
444	1083	1351
445	1085	1348
446	1087	1345
447	1089	1342
448	1091	1339
449	1093	1336
450	1095	1333
451	1097	1330
452	1099	1327
453	1101	1325
454	1104	1322
455	1105	1319
456	1107	1316
457	1109	1313
458	1112	1310
459	1114	1307
460	1116	1304
461	1118	1301
462	1120	1299
463	1121	1296
464	1123	1293
465	1125	1290
466	1128	1287
467	1130	1284
468	1132	1281
469	1134	1278
470	1136	1276
471	1138	1273
472	1140	1270
473	1142	1267
474	1144	1265
475	1146	1262
476	1148	1259
477	1150	1256
478	1152	1253
479	1154	1250
480	1156	1248
481	1158	1245
482	1160	1242
483	1162	1239
484	1164	1236
485	1166	1234
486	1168	1231
487	1171	1228
488	1173	1225
489	1175	1223
490	1177	1221
491	1179	1218
492	1181	1215
493	1183	1212
494	1185	1209
495	1188	1207
496	1190	1204
497	1192	1201
498	1194	1199
499	1196	1196
500	1198	1193
501	1200	1190
502	1202	1187
503	1204	1185
504	1206	1182
505	1208	1179
506	1210	1177
507	1212	1174
508	1214	1171
509	1216	1169
510	1218	1166
511	1220	1163
512	1222	1160
513	1225	1158
514	1227	1155
515	1229	1152
516	1231	1150
517	1233	1147
518	1234	1144
519	1236	1141
520	1238	1138
521	1241	1136
522	1243	1133
523	1245	1131
524	1246	1128
525	1248	1125
526	1251	1122
527	1252	1120
528	1255	1117
529	1257	1115
530	1259	1112
531	1261	1110
532	1264	1107
533	1266	1105
534	1268	1102
535	1270	1100
536	1273	1097
537	1275	1095
538	1277	1092
539	1279	1089
540	1281	1086
541	1283	1084
542	1285	1081
543	1287	1078
544	1289	1076
545	1291	1073
546	1293	1071
547	1295	1068
548	1297	1065
549	1299	1063
550	1301	1060
551	1303	1058
552	1305	1055
553	1307	1052
554	1309	1050
555	1311	1047
556	1313	1044
557	1315	1042
558	1317	1039
559	1319	1036
560	1321	1034
561	1323	1031
562	1325	1028
563	1327	1026
564	1329	1023
565	1331	1020
566	1333	1018
567	1335	1015
568	1337	1012
569	1339	1010
570	1341	1007
571	1343	1005
